method,pid,session,n_questions,exact_duplicate_rate,intent_duplicate_rate,categories_covered,min_per_category,category_entropy,replacement_churn,longitudinal_repetition,change_onsets,change_followup_rate,mean_words,non_question_items,invalid_output_rate,llm_calls,retries,generated_items,selection_ms,synthetic_rating_quality,semantic_near_dup_pair_rate,semantic_diversity,relevance_proxy_new
V1,P003,1,20,0.0,0.35,1.0,4,1.0,0.4,0.5,1,0.0,8.8,0.0,0.2,5,0,11,5.472582997754216,3.277910613664164,0.0,0.6636090494862825,0.39989065311639993
V1,P003,2,20,0.0,0.25,1.0,4,1.0,0.45,0.3333333333333333,1,1.0,8.3,0.0,0.0,5,0,10,5.699416855350137,3.300637530019081,0.0,0.6719015544989391,0.3176905135868815
V1,P003,3,20,0.0,0.3,1.0,4,1.0,0.3,0.8333333333333334,0,,8.6,0.0,0.0,5,0,10,5.566542036831379,3.136865217726,0.005263157894736842,0.6875931952306218,0.2794387665729457
V1,P003,4,20,0.0,0.45,1.0,4,1.0,0.45,0.7777777777777778,1,1.0,8.55,0.0,0.0,5,0,10,5.5281249806284904,3.135332671937265,0.0,0.7065520936197348,0.33777745190152697
V1,P003,5,20,0.0,0.35,1.0,4,1.0,0.4,0.625,1,1.0,9.0,0.0,0.2,5,0,11,5.464415997266769,3.2073604984000794,0.005263157894736842,0.7207874846367119,0.29404312464916194
V1,P004,0,20,0.0,0.45,1.0,4,1.0,,,0,,8.75,0.0,0.0,1,0,20,0.0,2.9667206584335224,0.0,0.6683291017151833,0.2575191780608746
V1,P004,1,20,0.0,0.5,1.0,4,1.0,0.4,0.25,0,,8.5,0.0,0.0,5,0,10,5.494832992553711,3.630573631925441,0.0,0.6693887094727216,0.2153330070324737
V1,P004,2,20,0.0,0.3,1.0,4,1.0,0.35,0.42857142857142855,0,,8.7,0.0,0.2,5,0,11,5.538042169064283,3.4722788239556075,0.0,0.70058981018257,0.3834565609423886
V1,P004,3,20,0.0,0.5,1.0,4,1.0,0.4,0.375,1,1.0,8.4,0.0,0.0,5,0,10,5.550500005483627,3.6036330984173075,0.0,0.6749280043490633,0.19874280888544926
V1,P004,4,20,0.0,0.4,1.0,4,1.0,0.3,0.6666666666666666,1,1.0,8.55,0.0,0.0,5,0,10,5.6464169174432755,3.719021680513861,0.0,0.7111716697866306,0.34316618187964476
V1,P004,5,20,0.0,0.45,1.0,4,1.0,0.3,0.8333333333333334,1,0.0,8.75,0.0,0.2,5,0,11,5.5946658831089735,3.573567361420018,0.0,0.7149218107022446,0.2670487422803459
V1,P005,0,20,0.0,0.4,1.0,4,1.0,,,0,,9.0,0.0,0.0,1,0,20,0.0,3.2403743541401098,0.0,0.6497771649359048,0.312150945909308
V1,P005,1,20,0.0,0.45,1.0,4,1.0,0.45,0.5555555555555556,0,,9.35,0.0,0.0,5,0,10,5.514000076800585,3.4521746962613653,0.005263157894736842,0.6471215304026798,0.3301170206845867
V1,P005,2,20,0.0,0.4,1.0,4,1.0,0.4,0.5,1,1.0,9.3,0.0,0.0,5,0,10,5.649707978591323,3.385363496602482,0.005263157894736842,0.6798620325995908,0.19733849325556
V1,P005,3,20,0.0,0.2,1.0,4,1.0,0.45,0.5555555555555556,1,1.0,9.45,0.0,0.0,5,0,10,5.498957820236683,3.163785707839967,0.0,0.6930128653735795,0.2233775360832125
V1,P005,4,20,0.0,0.2,1.0,4,1.0,0.5,0.6,1,0.0,8.65,0.0,0.0,5,0,10,5.622874945402145,3.4386934897766643,0.010526315789473684,0.6808627287478849,0.3560758440001671
V1,P005,5,20,0.0,0.4,1.0,4,1.0,0.45,0.5555555555555556,1,1.0,8.65,0.0,0.0,5,0,10,5.481041967868805,3.6250025982074847,0.005263157894736842,0.6546490831309482,0.28019601902613356
V1,P006,0,20,0.0,0.5,1.0,4,1.0,,,0,,8.7,0.0,0.0,1,0,20,0.0,2.816093654596083,0.0,0.6696840341116876,0.30858809524878916
V1,P006,1,20,0.0,0.45,1.0,4,1.0,0.35,0.7142857142857143,1,1.0,8.6,0.0,0.0,5,0,10,5.552540998905897,3.1324220608310296,0.005263157894736842,0.7069172795785985,0.348171200842613
V1,P006,2,20,0.0,0.45,1.0,4,1.0,0.4,0.375,0,,8.65,0.0,0.2,5,0,11,5.6162921246141195,3.1882445798311574,0.005263157894736842,0.7207562257526263,0.3383716087615215
V1,P006,3,20,0.0,0.35,1.0,4,1.0,0.4,0.375,1,1.0,8.55,0.0,0.0,5,0,10,5.485582863911986,3.500731886303123,0.0,0.7041890693048758,0.2735326999948675
V1,P006,4,20,0.0,0.35,1.0,4,1.0,0.35,1.0,0,,8.85,0.0,0.2,5,0,11,5.450624972581863,3.419959378627664,0.005263157894736842,0.742964338423486,0.3011894519818367
V1,P006,5,20,0.0,0.45,1.0,4,1.0,0.3,0.6666666666666666,1,1.0,8.7,0.0,0.4,5,0,12,5.446583032608032,3.6799067474596496,0.005263157894736842,0.7565057179964525,0.35806628509674443
V1,P007,0,20,0.0,0.3,1.0,4,1.0,,,0,,8.95,0.0,0.0,1,0,20,0.0,2.8799568267485824,0.0,0.6803980204936888,0.30926558096186796
V1,P007,1,20,0.0,0.2,1.0,4,1.0,0.45,0.5555555555555556,0,,8.9,0.0,0.0,5,0,10,5.600624950602651,3.0442726473326625,0.0,0.6960847134967434,0.3354401488489992
V1,P007,2,20,0.0,0.4,1.0,4,1.0,0.35,0.42857142857142855,1,1.0,8.65,0.0,0.2,5,0,11,5.564958089962602,3.0323504553187726,0.010526315789473684,0.6818743311223756,0.45763014276220176
V1,P007,3,20,0.0,0.45,1.0,4,1.0,0.5,0.7,1,0.0,8.5,0.0,0.0,5,0,10,5.488333059474826,3.2308629342478503,0.0,0.7139891066595383,0.21347423147655706
V1,P007,4,20,0.0,0.1,1.0,4,1.0,0.45,0.3333333333333333,1,1.0,8.55,0.0,0.0,5,0,10,5.5706670973449945,3.311319069374103,0.0,0.7117018195225351,0.3467016451128027
V1,P007,5,20,0.0,0.2,1.0,4,1.0,0.45,0.6666666666666666,0,,8.65,0.0,0.0,5,0,10,5.555332871153951,3.1351860477241016,0.0,0.6753020872084796,0.26722442409352837
V1,P008,0,20,0.0,0.2,1.0,4,1.0,,,0,,8.35,0.0,0.0,1,0,20,0.0,3.015144132161175,0.0,0.6721578290920723,0.29535806632193823
V1,P008,1,20,0.0,0.3,1.0,4,1.0,0.35,0.7142857142857143,1,1.0,8.5,0.0,0.2,5,0,11,5.422957940027118,3.293122583245045,0.0,0.6464643359574962,0.27812029987917025
V1,P008,2,20,0.0,0.25,1.0,4,1.0,0.3,0.6666666666666666,1,1.0,8.9,0.0,0.2,5,0,11,5.577625008299947,3.4009230155612875,0.0,0.68192489868197,0.42582881733302763
V1,P008,3,20,0.0,0.45,1.0,4,1.0,0.45,0.5555555555555556,1,1.0,8.6,0.0,0.0,5,0,10,5.499416962265968,3.5210577922509847,0.0,0.68382389227149,0.22372881559167132
V1,P008,4,20,0.0,0.5,1.0,4,1.0,0.35,0.7142857142857143,1,1.0,8.7,0.0,0.2,5,0,11,5.5104580242186785,3.4032750937976437,0.005263157894736842,0.6788994654326662,0.39652361613163245
V1,P008,5,20,0.0,0.3,1.0,4,1.0,0.45,0.7777777777777778,1,1.0,8.75,0.0,0.0,5,0,10,5.574750015512109,3.4293905226400376,0.005263157894736842,0.709437819355989,0.31511740323480264
V1,P009,0,20,0.0,0.65,1.0,4,1.0,,,0,,8.75,0.0,0.0,1,0,20,0.0,3.0991685199020655,0.005263157894736842,0.6549642406318897,0.34473234536029423
V1,P009,1,20,0.0,0.4,1.0,4,1.0,0.4,0.375,0,,8.35,0.0,0.0,5,0,10,5.474000005051494,3.15007205189588,0.0,0.6865839545136228,0.2836596402197988
V1,P009,2,20,0.0,0.65,1.0,4,1.0,0.35,0.7142857142857143,0,,8.8,0.0,0.0,5,0,10,5.670124897733331,3.251780475467206,0.0,0.6536078824628473,0.3035595356738515
V1,P009,3,20,0.0,0.5,1.0,4,1.0,0.3,0.3333333333333333,1,1.0,8.85,0.0,0.0,5,0,10,5.489707924425602,3.3261327791433146,0.0,0.6968580134499278,0.34772161026597725
V1,P009,4,20,0.0,0.55,1.0,4,1.0,0.5,0.7,0,,8.45,0.0,0.0,5,0,10,5.590624874457717,3.328551320683571,0.005263157894736842,0.6667604528224663,0.25352950140309194
V1,P009,5,20,0.0,0.5,1.0,4,1.0,0.35,0.7142857142857143,0,,8.85,0.0,0.2,5,0,11,5.536083830520511,3.2308546037491537,0.005263157894736842,0.6601169064398884,0.2709676263715849
V1,P010,0,20,0.0,0.65,1.0,4,1.0,,,0,,8.35,0.0,0.0,1,0,20,0.0,3.278680067168885,0.0,0.6425515553652291,0.32348780596944493
V1,P010,1,20,0.0,0.45,1.0,4,1.0,0.4,0.375,1,1.0,8.75,0.0,0.0,5,0,10,5.451791919767857,3.37235953536644,0.0,0.6454534789410866,0.3472420776410482
V1,P010,2,20,0.0,0.6,1.0,4,1.0,0.45,0.4444444444444444,0,,8.35,0.0,0.0,5,0,10,5.656040972098708,3.434209266775362,0.0,0.6303504196440632,0.3161282128673656
V1,P010,3,20,0.0,0.6,1.0,4,1.0,0.3,0.5,0,,8.55,0.0,0.0,5,0,10,5.934834014624357,3.758864629524767,0.0,0.6545327658366134,0.266474525249807
V1,P010,4,20,0.0,0.6,1.0,4,1.0,0.3,0.8333333333333334,1,1.0,8.75,0.0,0.0,5,0,10,5.894416943192482,3.5393164109620328,0.0,0.6605887391083767,0.29400545643863485
V1,P010,5,20,0.0,0.4,1.0,4,1.0,0.4,0.375,1,1.0,8.55,0.0,0.0,5,0,10,5.611166823655367,3.8812050989494056,0.0,0.6844419546080664,0.3548182053710261
V1,P011,0,20,0.0,0.25,1.0,4,1.0,,,0,,8.7,0.0,0.0,1,0,20,0.0,2.8401814425699166,0.0,0.6456891753414382,0.2621276939360046
V1,P011,1,20,0.0,0.2,1.0,4,1.0,0.4,0.25,1,0.0,8.7,0.0,0.0,5,0,10,5.539958132430911,3.122565335290063,0.0,0.6883428743313118,0.24861521944614293
V1,P011,2,20,0.0,0.2,1.0,4,1.0,0.45,0.5555555555555556,1,0.0,9.05,0.0,0.0,5,0,10,5.553709110245109,3.1479922289951174,0.0,0.6967414666655756,0.26533218768261696
V1,P011,3,20,0.0,0.2,1.0,4,1.0,0.5,0.6,1,1.0,8.85,0.0,0.0,5,0,10,5.520583130419254,3.2626922357077026,0.0,0.7221766652934803,0.35844470050805805
V1,P011,4,20,0.0,0.1,1.0,4,1.0,0.35,0.7142857142857143,1,0.0,9.15,0.0,0.0,5,0,10,5.5763330310583115,3.0834048728566605,0.0,0.6719511389287383,0.21288296829816925
V1,P011,5,20,0.0,0.2,1.0,4,1.0,0.4,0.5,0,,8.7,0.0,0.2,5,0,11,5.415832856670022,3.1013332549770904,0.0,0.7318379783919198,0.3824919483169605
V1,P012,0,20,0.0,0.4,1.0,4,1.0,,,0,,8.75,0.0,0.0,1,0,20,0.0,2.9495264852630667,0.005263157894736842,0.7105708414243452,0.26418516293118566
V1,P012,1,20,0.0,0.3,1.0,4,1.0,0.3,0.3333333333333333,1,0.0,8.3,0.0,0.2,5,0,11,5.44866593554616,3.1251747604137177,0.0,0.7183864706097813,0.2810321642348377
V1,P012,2,20,0.0,0.3,1.0,4,1.0,0.25,0.2,1,0.0,8.1,0.0,0.4,5,0,12,5.365292076021433,3.151969093335745,0.005263157894736842,0.6707251287883385,0.22580342172556386
V1,P012,3,20,0.0,0.2,1.0,4,1.0,0.45,0.2222222222222222,0,,8.5,0.0,0.0,5,0,10,5.49175008200109,3.1435103473922403,0.0,0.6652476908251272,0.32562708593857564
V1,P012,4,20,0.0,0.3,1.0,4,1.0,0.35,1.0,0,,8.65,0.0,0.2,5,0,11,5.570375127717853,3.1154859625692506,0.0,0.6511014459071549,0.22080390253954565
V1,P012,5,20,0.0,0.4,1.0,4,1.0,0.4,0.625,0,,8.7,0.0,0.0,5,0,10,5.565874977037311,3.15588325716003,0.0,0.6701875144233111,0.3622277642841954
V1,P013,0,20,0.0,0.5,1.0,4,1.0,,,0,,8.65,0.0,0.0,1,0,20,0.0,3.5103416422201925,0.0,0.6353754184523593,0.2803858298933822
V1,P013,1,20,0.0,0.6,1.0,4,1.0,0.3,0.8333333333333334,0,,8.7,0.0,0.2,5,0,11,5.445749964565039,3.538522562821656,0.0,0.6282494701632593,0.21930884518606245
V1,P013,2,20,0.0,0.45,1.0,4,1.0,0.4,0.625,1,1.0,8.7,0.0,0.0,5,0,10,5.512541858479381,3.5984467370160473,0.005263157894736842,0.6320567274295339,0.2518655255085019
V1,P013,3,20,0.0,0.2,1.0,4,1.0,0.35,0.2857142857142857,1,1.0,8.95,0.0,0.2,5,0,11,5.512875039130449,3.3406431605165396,0.010526315789473684,0.6565561323618629,0.3360140477200151
V1,P013,4,20,0.0,0.4,1.0,4,1.0,0.35,0.42857142857142855,1,0.0,8.9,0.0,0.2,5,0,11,5.435791797935963,3.5759584421113013,0.005263157894736842,0.6549134530964502,0.38702292758117546
V1,P013,5,20,0.0,0.1,1.0,4,1.0,0.45,0.6666666666666666,0,,8.75,0.0,0.0,5,0,10,5.522208055481315,3.620182333234952,0.005263157894736842,0.6964976341313651,0.31472207535588403
V1,P014,0,20,0.0,0.6,1.0,4,1.0,,,0,,8.9,0.0,0.0,1,0,20,0.0,2.9192137646513663,0.0,0.670487548352487,0.27433869201305844
V1,P014,1,20,0.0,0.3,1.0,4,1.0,0.35,0.14285714285714285,1,1.0,9.0,0.0,0.0,5,0,10,5.572499940171838,3.2401359838235337,0.0,0.6693830949565296,0.2536712125228335
V1,P014,2,20,0.0,0.5,1.0,4,1.0,0.45,0.4444444444444444,0,,8.65,0.0,0.0,5,0,10,5.4787080734968185,3.374024566597714,0.005263157894736842,0.6904295970364444,0.30578174634621785
V1,P014,3,20,0.0,0.3,1.0,4,1.0,0.4,0.75,1,1.0,9.25,0.0,0.0,5,0,10,5.933792097494006,3.399905871039393,0.005263157894736842,0.6955547295390435,0.2964578824418998
V1,P014,4,20,0.0,0.4,1.0,4,1.0,0.3,0.8333333333333334,0,,9.3,0.0,0.2,5,0,11,6.090582814067602,3.29570724858124,0.0,0.6883495516586691,0.30038404777220695
V1,P014,5,20,0.0,0.25,1.0,4,1.0,0.45,0.5555555555555556,0,,8.85,0.0,0.0,5,0,10,6.145749939605594,3.3554095199837994,0.0,0.7116777362629843,0.2641682139344577
V1,P015,0,20,0.0,0.2,1.0,4,1.0,,,0,,8.5,0.0,0.0,1,0,20,0.0,3.4054890419249753,0.0,0.6688767858590845,0.2869497169179054
V1,P015,1,20,0.0,0.2,1.0,4,1.0,0.35,0.42857142857142855,1,1.0,8.6,0.0,0.0,5,0,10,6.355209043249488,3.3954099531444575,0.0,0.6794340959208423,0.2883293641970396
V1,P015,2,20,0.0,0.2,1.0,4,1.0,0.45,0.6666666666666666,1,1.0,8.8,0.0,0.0,5,0,10,6.1613330617547035,3.354016659758339,0.0,0.6819204758231394,0.2666945935595796
V1,P015,3,20,0.0,0.35,1.0,4,1.0,0.4,0.25,1,1.0,8.6,0.0,0.2,5,0,11,5.973917199298739,3.3306230581938863,0.0,0.6521196635065611,0.2530788621967606
V1,P015,4,20,0.0,0.45,1.0,4,1.0,0.3,0.8333333333333334,1,0.0,8.7,0.0,0.2,5,0,11,6.23599998652935,3.29669709757231,0.0,0.6856280681690855,0.3526462084350699
V1,P015,5,20,0.0,0.4,1.0,4,1.0,0.45,0.6666666666666666,0,,8.75,0.0,0.0,5,0,10,6.13874988630414,3.755638223516627,0.005263157894736842,0.6844699648776116,0.31570940993000474
V1,P016,0,20,0.0,0.1,1.0,4,1.0,,,0,,8.0,0.0,0.0,1,0,20,0.0,2.5401478841632197,0.0,0.7190776704310702,0.32778775683744205
V1,P016,1,20,0.0,0.3,1.0,4,1.0,0.45,0.5555555555555556,1,0.0,8.5,0.0,0.0,5,0,10,5.545750027522445,2.6246268316579515,0.0,0.714964131163287,0.2911172699692914
V1,P016,2,20,0.0,0.45,1.0,4,1.0,0.35,0.5714285714285714,0,,8.45,0.0,0.2,5,0,11,5.547083215788007,2.932152573269225,0.0,0.7032099743982632,0.2912159433362365
V1,P016,3,20,0.0,0.4,1.0,4,1.0,0.35,0.5714285714285714,1,0.0,8.65,0.0,0.2,5,0,11,5.696249892935157,2.982778234793886,0.0,0.7143333429521814,0.32224066695342096
V1,P016,4,20,0.0,0.45,1.0,4,1.0,0.3,0.3333333333333333,1,0.0,8.95,0.0,0.4,5,0,12,5.367999896407127,3.265273779141752,0.0,0.7440224932683979,0.32938231181656324
V1,P016,5,20,0.0,0.2,1.0,4,1.0,0.3,1.0,0,,8.85,0.0,0.2,5,0,11,5.5374158546328545,2.8433657004958883,0.0,0.7174465039668573,0.1393983195952959
V1,P017,0,20,0.0,0.4,1.0,4,1.0,,,0,,8.45,0.0,0.0,1,0,20,0.0,2.809018981722702,0.0,0.6641019136872548,0.298915059701626
V1,P017,1,20,0.0,0.35,1.0,4,1.0,0.45,0.3333333333333333,1,1.0,8.7,0.0,0.0,5,0,10,5.4620411247015,3.187963292346871,0.0,0.6920967733311675,0.26376563722102064
V1,P017,2,20,0.0,0.35,1.0,4,1.0,0.35,0.5714285714285714,1,0.0,8.75,0.0,0.2,5,0,11,5.504874978214502,3.1366385127201823,0.0,0.7202034936861714,0.297538446205471
V1,P017,3,20,0.0,0.4,1.0,4,1.0,0.45,0.5555555555555556,0,,8.7,0.0,0.0,5,0,10,5.54924993775785,3.3149019131004573,0.0,0.7146065969162065,0.3256506194510757
V1,P017,4,20,0.0,0.2,1.0,4,1.0,0.45,0.7777777777777778,1,0.0,8.35,0.0,0.0,5,0,10,5.489999894052744,2.9474850089506885,0.0,0.7746919952264145,0.37982350154723954
V1,P017,5,20,0.0,0.35,1.0,4,1.0,0.5,0.8,1,1.0,8.75,0.0,0.0,5,0,10,5.6509580463171005,3.016183766272456,0.005263157894736842,0.7260704590396421,0.2744264750339486
V1,P018,0,20,0.0,0.45,1.0,4,1.0,,,0,,8.45,0.0,0.0,1,0,20,0.0,3.0835154447042674,0.0,0.6748515835256617,0.27441964264723195
V1,P018,1,20,0.0,0.4,1.0,4,1.0,0.3,0.16666666666666666,1,0.0,8.85,0.0,0.2,5,0,11,5.3964159451425076,3.3729017700359627,0.0,0.6492875019885235,0.29184580900940094
V1,P018,2,20,0.0,0.55,1.0,4,1.0,0.5,0.7,0,,8.55,0.0,0.0,5,0,10,5.551625043153763,3.533087530322068,0.0,0.6693241397438319,0.2280809153674707
V1,P018,3,20,0.0,0.7,1.0,4,1.0,0.4,0.5,0,,9.05,0.0,0.0,5,0,10,5.747833987697959,3.4449319466649455,0.0,0.6927085625176369,0.29321813274265074
V1,P018,4,20,0.0,0.55,1.0,4,1.0,0.35,0.5714285714285714,0,,8.95,0.0,0.0,5,0,10,5.613584071397781,3.405374935578957,0.0,0.6784160974942905,0.29666809008112677
V1,P018,5,20,0.0,0.55,1.0,4,1.0,0.45,0.6666666666666666,0,,9.0,0.0,0.0,5,0,10,5.6404999922961,3.5170098463741404,0.0,0.6861237299321523,0.26916496360154457
V1,P019,0,20,0.0,0.5,1.0,4,1.0,,,0,,8.25,0.0,0.0,1,0,20,0.0,2.9892529396281673,0.005263157894736842,0.6296018088006994,0.2644563997177412
V1,P019,1,20,0.0,0.4,1.0,4,1.0,0.45,0.1111111111111111,1,1.0,8.6,0.0,0.0,5,0,10,5.50691713578999,3.3523111287946166,0.0,0.6288876404545432,0.3377439484312456
V1,P019,2,20,0.0,0.0,1.0,4,1.0,0.4,0.125,1,1.0,8.75,0.0,0.0,5,0,10,5.562915932387114,3.4477508537916983,0.0,0.6958193086317597,0.240620623537758
V1,P019,3,20,0.0,0.2,1.0,4,1.0,0.5,0.7,0,,8.55,0.0,0.0,5,0,10,5.682457936927676,3.620926724197323,0.0,0.6946546391901129,0.2561194481522422
V1,P019,4,20,0.0,0.4,1.0,4,1.0,0.5,0.9,0,,9.05,0.0,0.0,5,0,10,5.497582955285907,3.4251015142352843,0.0,0.6774818347061813,0.2800066366470228
V1,P019,5,20,0.0,0.3,1.0,4,1.0,0.35,0.2857142857142857,1,1.0,8.95,0.0,0.0,5,0,10,5.592917092144489,3.305610671880534,0.0,0.7097595434029653,0.35800360721526686
V1,P020,0,20,0.0,0.25,1.0,4,1.0,,,0,,8.7,0.0,0.0,1,0,20,0.0,2.6590078093358898,0.005263157894736842,0.6590508305506109,0.30498917686493104
V1,P020,1,20,0.0,0.4,1.0,4,1.0,0.45,0.4444444444444444,1,1.0,8.45,0.0,0.0,5,0,10,5.518167046830058,3.0575944804033606,0.0,0.706479967247303,0.3100696958762994
V1,P020,2,20,0.0,0.3,1.0,4,1.0,0.5,0.6,1,0.0,8.5,0.0,0.0,5,0,10,5.530916852876544,3.108178347531134,0.0,0.7159293555549959,0.2802395138857917
V1,P020,3,20,0.0,0.3,1.0,4,1.0,0.35,0.5714285714285714,1,0.0,8.9,0.0,0.2,5,0,11,5.5288339499384165,3.220304701179502,0.0,0.6752313057199772,0.32453834275849897
V1,P020,4,20,0.0,0.45,1.0,4,1.0,0.35,0.5714285714285714,1,1.0,9.0,0.0,0.2,5,0,11,5.427542142570019,3.2872961725826064,0.0,0.6767557342346415,0.2894206600239075
V1,P020,5,20,0.0,0.35,1.0,4,1.0,0.35,0.42857142857142855,0,,8.9,0.0,0.0,5,0,10,5.574624985456467,3.453419587008541,0.0,0.6962950139293984,0.36679616889327715
V1,P021,0,20,0.0,0.6,1.0,4,1.0,,,0,,8.8,0.0,0.0,1,0,20,0.0,3.2905995982320255,0.005263157894736842,0.6599191523318965,0.27143789445562705
V1,P021,1,20,0.0,0.4,1.0,4,1.0,0.35,0.2857142857142857,1,0.0,9.15,0.0,0.0,5,0,10,5.5021250154823065,3.4425918718665707,0.005263157894736842,0.6427288777263085,0.2926848837089024
V1,P021,2,20,0.0,0.6,1.0,4,1.0,0.5,0.6,0,,8.95,0.0,0.0,5,0,10,5.502917105332017,3.3497549458040665,0.0,0.6491388595246814,0.24858492169986865
V1,P021,3,20,0.0,0.5,1.0,4,1.0,0.4,0.125,1,1.0,9.3,0.0,0.0,5,0,10,5.612625041976571,3.523921598858446,0.005263157894736842,0.6625805203852801,0.29131143089803074
V1,P021,4,20,0.0,0.4,1.0,4,1.0,0.4,0.75,0,,8.8,0.0,0.0,5,0,10,5.573624977841973,3.5342177234245504,0.0,0.6433479079635083,0.3375585470228788
V1,P021,5,20,0.0,0.3,1.0,4,1.0,0.45,0.5555555555555556,1,0.0,8.5,0.0,0.0,5,0,10,5.559791810810566,3.5282527436471307,0.0,0.7009864301438355,0.3262250313266804
V1,P022,0,20,0.0,0.55,1.0,4,1.0,,,0,,8.9,0.0,0.0,1,0,20,0.0,2.659806560706866,0.0,0.646381806460321,0.25970298849624435
V1,P022,1,20,0.0,0.65,1.0,4,1.0,0.25,0.6,0,,8.8,0.0,0.2,5,0,11,5.462583154439926,2.663880648269041,0.0,0.6477792439364201,0.3429253960838792
V1,P022,2,20,0.0,0.45,1.0,4,1.0,0.25,0.4,1,1.0,8.9,0.0,0.4,5,0,12,5.414749961346388,2.8353827425060407,0.0,0.6428313664772716,0.3416263927543738
V1,P022,3,20,0.0,0.35,1.0,4,1.0,0.4,0.5,1,1.0,8.2,0.0,0.0,5,0,10,5.5143749341368675,3.1058468459979434,0.0,0.6647569445765502,0.30216852185191817
V1,P022,4,20,0.0,0.1,1.0,4,1.0,0.45,0.2222222222222222,1,1.0,8.55,0.0,0.0,5,0,10,5.540791898965836,3.285360034923536,0.0,0.7083732024624249,0.36672997119044537
